timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
16396288,37.03,45.55,101.75,10844,60000,2.65,1.27,2.59,2.73
16396538,37.03,45.52,101.75,8655,60000,2.67,1.28,2.65,2.85
16396788,37.02,45.54,101.74,7016,60000,2.68,1.29,2.69,2.95
16397038,37.03,45.54,101.75,5464,60000,2.73,1.32,2.78,3.16
16397288,37.03,45.57,101.74,4609,57246,2.77,1.34,2.84,3.19
16397538,37.04,45.64,101.75,4177,52994,2.80,1.36,2.86,3.17
16397788,37.04,45.67,101.75,3895,49229,2.80,1.36,2.87,3.12
16398038,37.03,45.72,101.74,3495,45046,2.79,1.36,2.87,3.04
