timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
16956308,38.04,49.07,101.75,53690,60000,2.50,1.16,2.63,3.06
16956558,38.04,49.07,101.75,39817,60000,2.54,1.16,2.66,3.07
16956808,38.04,49.07,101.75,27149,60000,2.57,1.16,2.72,3.16
16957058,38.03,49.04,101.75,24654,60000,2.59,1.16,2.74,3.13
16957308,38.04,49.00,101.75,20905,60000,2.62,1.16,2.73,3.08
16957558,38.04,48.93,101.75,12731,60000,2.63,1.16,2.72,2.96
16957808,38.02,48.85,101.75,9194,60000,2.63,1.16,2.70,2.92
16958058,38.02,48.73,101.75,6923,60000,2.69,1.18,2.73,3.09
