timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
15874256,39.43,46.93,101.75,4739,13700,1.85,1.26,1.92,1.85
15874506,39.44,46.93,101.75,4616,13723,1.86,1.26,1.92,1.87
15874756,39.44,46.95,101.75,4558,13689,1.86,1.26,1.93,1.90
15875006,39.45,46.95,101.75,4607,13801,1.86,1.27,1.94,1.91
15875256,39.45,46.97,101.75,4734,14049,1.86,1.27,1.94,1.89
15875506,39.45,46.99,101.75,4842,14139,1.86,1.28,1.95,1.85
15875756,39.47,47.01,101.75,5134,14691,1.86,1.28,1.95,1.82
15876006,39.47,47.03,101.75,4815,14657,1.87,1.28,1.95,1.75
