timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
16552298,37.73,48.18,101.75,31523,60000,2.72,1.29,2.76,2.57
16552548,37.73,48.20,101.75,23483,60000,2.70,1.28,2.75,2.42
16552798,37.72,48.28,101.75,18107,60000,2.69,1.28,2.73,2.29
16553048,37.73,48.18,101.75,14427,60000,2.67,1.28,2.71,2.19
16553298,37.72,48.14,101.75,12180,60000,2.67,1.27,2.70,2.10
16553548,37.72,48.13,101.75,10925,60000,2.66,1.27,2.68,2.01
16553798,37.73,48.11,101.75,10178,60000,2.65,1.27,2.67,1.94
16554048,37.73,48.14,101.74,9669,60000,2.64,1.26,2.65,1.88
