timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
15840256,39.31,45.82,101.75,940,2667,1.85,1.21,1.87,0.85
15840506,39.32,45.88,101.75,940,2630,1.85,1.22,1.87,0.84
15840756,39.32,45.93,101.75,942,2588,1.85,1.22,1.87,0.83
15841006,39.33,46.02,101.75,924,2517,1.85,1.22,1.87,0.83
15841256,39.34,46.06,101.75,928,2447,1.85,1.21,1.86,0.82
15841506,39.33,46.14,101.75,909,2380,1.85,1.21,1.87,0.82
15841756,39.33,46.21,101.75,940,2337,1.85,1.21,1.87,0.81
15842006,39.34,46.26,101.75,1001,2309,1.85,1.21,1.86,0.82
