timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
16404288,37.00,47.25,101.75,5719,60000,2.55,1.25,2.64,1.83
16404538,36.98,47.22,101.75,4734,59895,2.54,1.25,2.63,1.77
16404788,36.99,47.19,101.75,4180,55713,2.53,1.25,2.61,1.73
16405038,36.98,47.19,101.75,3863,51251,2.52,1.25,2.59,1.69
16405288,36.98,47.16,101.75,3598,48671,2.50,1.24,2.58,1.65
16405538,36.98,47.14,101.75,3289,44837,2.50,1.24,2.57,1.62
16405788,36.98,47.13,101.75,2943,42676,2.48,1.23,2.55,1.60
16406038,36.97,47.09,101.75,3002,40445,2.48,1.23,2.55,1.97
