timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
16954308,38.05,48.42,101.75,24682,60000,2.52,1.16,2.50,2.09
16954558,38.05,48.54,101.75,17873,60000,2.51,1.16,2.49,1.93
16954808,38.05,48.64,101.75,14854,60000,2.49,1.16,2.47,1.84
16955058,38.05,48.71,101.74,12028,60000,2.48,1.16,2.46,1.74
16955308,38.05,48.80,101.75,10253,60000,2.46,1.16,2.45,1.65
16955558,38.04,48.87,101.75,8528,60000,2.45,1.16,2.43,1.73
16955808,38.05,48.95,101.75,10560,60000,2.44,1.16,2.43,1.80
16956058,38.04,48.98,101.75,48946,60000,2.47,1.16,2.52,2.44
