timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
17066318,37.64,48.20,101.75,57330,60000,2.66,1.17,2.67,2.55
17066568,37.65,48.23,101.75,57330,60000,2.66,1.17,2.66,2.48
17066818,37.66,48.29,101.75,57330,60000,2.67,1.17,2.66,2.62
17067068,37.66,48.30,101.75,57330,60000,2.73,1.17,2.69,3.09
17067318,37.68,48.33,101.75,57330,60000,2.75,1.17,2.73,3.14
17067568,37.69,48.37,101.75,57330,60000,2.75,1.17,2.75,3.12
17067818,37.69,48.38,101.75,57330,60000,2.74,1.16,2.74,3.08
17068068,37.69,48.36,101.75,57330,60000,2.72,1.16,2.73,2.96
