timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
16938308,38.13,46.29,101.75,26184,60000,2.58,1.19,2.64,2.58
16938558,38.14,46.36,101.75,20243,60000,2.59,1.20,2.63,2.37
16938808,38.14,46.39,101.75,14468,60000,2.61,1.20,2.62,2.36
16939058,38.14,46.40,101.75,10427,60000,2.64,1.21,2.64,2.48
16939308,38.14,46.52,101.75,17197,60000,2.65,1.21,2.65,2.48
16939558,38.14,46.57,101.75,49275,60000,2.65,1.21,2.65,2.36
16939808,38.14,46.66,101.75,57330,60000,2.64,1.22,2.65,2.19
16940058,38.14,46.71,101.75,57330,60000,2.62,1.21,2.63,2.02
