timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
15692246,38.85,51.64,101.76,1455,1907,1.86,1.29,1.96,0.85
15692496,38.87,51.66,101.76,1445,1875,1.86,1.29,1.96,0.85
15692746,38.88,51.71,101.76,1449,1893,1.86,1.29,1.96,0.85
15692996,38.89,51.72,101.76,1396,1900,1.87,1.29,1.96,0.85
15693246,38.89,51.81,101.76,1356,1866,1.87,1.30,1.96,0.85
15693496,38.89,51.88,101.76,1304,1840,1.86,1.30,1.96,0.84
15693746,38.88,51.91,101.76,1196,1778,1.86,1.30,1.96,0.83
15693996,38.88,51.87,101.76,1151,1757,1.86,1.29,1.96,0.83
