timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
15714246,39.10,49.00,101.76,807,1103,1.84,1.26,1.91,0.75
15714496,39.10,48.97,101.76,806,1103,1.84,1.26,1.91,0.74
15714746,39.11,48.90,101.76,790,1098,1.84,1.26,1.91,0.74
15714996,39.11,48.87,101.76,778,1075,1.84,1.26,1.90,0.74
15715246,39.11,48.83,101.76,780,1077,1.84,1.25,1.90,0.74
15715496,39.11,48.78,101.76,789,1056,1.84,1.25,1.90,0.74
15715746,39.11,48.78,101.76,794,1052,1.84,1.25,1.91,0.74
15715996,39.11,48.74,101.76,797,1051,1.84,1.25,1.91,0.74
