timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
15808256,39.05,46.16,101.75,1686,2251,1.85,1.22,1.88,1.23
15808506,39.05,46.18,101.75,1645,2267,1.85,1.22,1.88,1.25
15808756,39.05,46.19,101.75,1674,2320,1.85,1.22,1.88,1.28
15809006,39.05,46.20,101.75,1716,2394,1.85,1.22,1.88,1.31
15809256,39.06,46.21,101.75,1726,2464,1.85,1.22,1.88,1.34
15809506,39.05,46.19,101.75,1619,2422,1.85,1.22,1.88,1.36
15809756,39.06,46.20,101.75,1606,2471,1.85,1.22,1.89,1.41
15810006,39.07,46.19,101.75,1605,2468,1.85,1.23,1.89,1.46
