timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
17112318,37.27,49.20,101.75,7613,60000,2.72,1.26,2.75,2.22
17112568,37.27,49.25,101.75,7277,60000,2.71,1.26,2.74,2.12
17112818,37.28,49.30,101.75,6981,60000,2.70,1.25,2.73,2.07
17113068,37.28,49.34,101.74,7109,60000,2.68,1.25,2.72,2.11
17113318,37.29,49.35,101.75,7468,60000,2.67,1.25,2.71,2.14
17113568,37.30,49.38,101.75,7723,60000,2.66,1.24,2.70,2.13
17113818,37.32,49.39,101.75,7033,60000,2.65,1.24,2.69,2.10
17114068,37.32,49.39,101.74,6958,60000,2.64,1.24,2.67,2.05
