timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
16912308,38.68,44.94,101.75,853,10098,2.23,1.13,2.30,1.25
16912558,38.65,44.89,101.75,1536,10796,2.22,1.13,2.28,1.24
16912808,38.64,44.86,101.75,57330,60000,2.22,1.13,2.28,1.24
16913058,38.63,44.88,101.75,57330,60000,2.26,1.13,2.41,2.34
16913308,38.64,44.87,101.75,57330,60000,2.34,1.14,2.60,3.05
16913558,38.64,44.89,101.75,57330,60000,2.46,1.18,2.69,3.13
16913808,38.65,44.94,101.74,57330,60000,2.57,1.24,2.76,3.21
16914058,38.66,45.03,101.75,57330,60000,2.63,1.26,2.82,3.23
