timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
16140278,38.33,47.43,101.75,3920,23574,2.42,1.87,2.60,1.18
16140528,38.34,47.52,101.75,3858,23435,2.42,1.88,2.61,1.21
16140778,38.35,47.60,101.75,3853,22982,2.42,1.88,2.62,1.25
16141028,38.36,47.70,101.75,3939,23226,2.43,1.90,2.64,1.29
16141278,38.37,47.81,101.75,3998,23435,2.43,1.92,2.65,1.34
16141528,38.38,47.89,101.75,4140,23400,2.44,1.94,2.67,1.42
16141778,38.39,47.94,101.75,4545,25143,2.45,1.96,2.69,1.49
16142028,38.41,48.00,101.76,5852,28245,2.47,1.99,2.72,1.58
