timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1364236,28.49,47.07,101.93,52377,60000,2.82,1.25,2.90,2.96
1364486,28.50,47.07,101.93,28957,60000,2.81,1.24,2.89,2.92
1364736,28.50,47.07,101.92,18341,60000,2.79,1.23,2.88,2.84
1364986,28.50,47.07,101.93,10705,60000,2.77,1.22,2.86,2.72
1365236,28.49,47.04,101.93,7653,56828,2.75,1.21,2.84,2.57
1365486,28.49,47.08,101.93,5151,49682,2.74,1.20,2.82,2.44
1365736,28.49,47.12,101.92,4177,44105,2.72,1.19,2.79,2.32
1365986,28.49,47.15,101.92,3451,38877,2.70,1.18,2.77,2.22
