timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1158236,29.46,46.80,101.92,2977,15715,2.66,1.00,2.60,3.13
1158486,29.46,46.80,101.92,1824,12147,2.65,1.00,2.60,3.06
1158736,29.47,46.81,101.92,1332,9085,2.63,1.00,2.58,2.92
1158986,29.47,46.81,101.93,943,6960,2.61,0.99,2.56,2.75
1159236,29.47,46.78,101.92,750,5851,2.58,0.99,2.53,2.56
1159486,29.46,46.78,101.92,624,5059,2.56,0.98,2.51,2.39
1159736,29.46,46.78,101.92,522,4307,2.53,0.98,2.48,2.24
1159986,29.47,46.79,101.92,412,3660,2.51,0.98,2.46,2.12
