timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1462236,28.11,47.03,101.92,7410,48532,2.74,1.05,2.71,3.01
1462486,28.11,47.01,101.92,6489,45569,2.75,1.05,2.72,3.04
1462736,28.11,47.00,101.92,13999,60000,2.77,1.07,2.75,3.06
1462986,28.12,47.00,101.92,31672,60000,2.77,1.07,2.76,3.03
1463236,28.12,47.00,101.92,26281,60000,2.77,1.08,2.76,3.00
1463486,28.11,47.01,101.92,17790,60000,2.76,1.08,2.76,2.97
1463736,28.09,47.01,101.92,9848,56723,2.75,1.08,2.76,2.87
1463986,28.08,46.98,101.92,6049,45151,2.74,1.07,2.74,2.73
