timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1328236,28.67,46.59,101.92,43785,60000,2.48,1.09,2.43,1.66
1328486,28.66,46.58,101.92,39429,60000,2.48,1.09,2.42,1.70
1328736,28.66,46.57,101.92,57330,60000,2.47,1.08,2.41,1.65
1328986,28.65,46.54,101.92,57330,60000,2.47,1.08,2.40,1.58
1329236,28.64,46.53,101.92,57330,60000,2.46,1.07,2.39,1.51
1329486,28.64,46.52,101.92,57330,60000,2.45,1.07,2.38,1.46
1329736,28.64,46.52,101.92,54287,60000,2.44,1.06,2.37,1.44
1329986,28.64,46.52,101.92,27094,60000,2.43,1.06,2.38,1.68
