timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1032236,28.66,48.65,101.92,1463,14229,2.50,1.04,2.55,1.92
1032486,28.67,48.59,101.92,1253,12833,2.49,1.04,2.54,1.89
1032736,28.66,48.53,101.92,1239,12124,2.48,1.04,2.53,1.87
1032986,28.66,48.45,101.92,1050,11269,2.47,1.03,2.52,1.86
1033236,28.67,48.38,101.92,931,10481,2.46,1.03,2.50,1.85
1033486,28.68,48.35,101.92,847,9828,2.45,1.03,2.49,1.86
1033736,28.68,48.26,101.92,1678,12484,2.46,1.03,2.48,1.90
1033986,28.69,48.21,101.92,4715,27618,2.50,1.03,2.50,2.39
