timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1060236,28.77,46.92,101.92,11446,53900,2.46,0.96,2.53,2.66
1060486,28.77,46.91,101.92,10705,51669,2.53,0.97,2.56,2.83
1060736,28.77,46.94,101.92,8736,46685,2.59,0.98,2.59,2.89
1060986,28.77,46.94,101.92,7769,43269,2.60,0.98,2.59,2.81
1061236,28.77,46.94,101.92,9894,48602,2.62,0.98,2.58,2.66
1061486,28.76,46.92,101.92,8342,45987,2.68,1.00,2.62,2.99
1061736,28.76,46.93,101.92,7966,42815,2.73,1.01,2.68,3.09
1061986,28.76,46.92,101.92,11684,53830,2.73,1.01,2.70,3.06
