timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1386236,28.46,47.12,101.92,57330,60000,2.87,1.22,2.86,3.14
1386486,28.46,47.09,101.93,57330,60000,2.86,1.23,2.87,3.11
1386736,28.47,47.06,101.93,57330,60000,2.85,1.23,2.85,3.02
1386986,28.47,47.07,101.93,57330,60000,2.84,1.23,2.84,2.89
1387236,28.49,47.00,101.93,36863,60000,2.82,1.22,2.82,2.75
1387486,28.48,47.00,101.92,19926,60000,2.80,1.21,2.80,2.63
1387736,28.49,47.02,101.92,10688,60000,2.78,1.20,2.78,2.49
1387986,28.49,47.03,101.93,6883,52401,2.76,1.19,2.76,2.34
