timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
776236,30.29,52.14,101.93,523,496,1.87,1.15,1.90,1.41
776486,30.29,52.21,101.93,517,492,1.86,1.16,1.90,1.39
776736,30.29,52.27,101.93,523,494,1.87,1.15,1.90,1.38
776986,30.29,52.33,101.93,530,499,1.86,1.15,1.90,1.38
777236,30.29,52.41,101.93,535,511,1.87,1.15,1.90,1.38
777486,30.30,52.51,101.93,542,513,1.87,1.15,1.90,1.39
777736,30.30,52.59,101.93,546,518,1.87,1.15,1.90,1.40
777986,30.30,52.69,101.93,560,527,1.87,1.15,1.89,1.41
