timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
2154272,29.18,43.63,101.75,11649,20263,2.63,0.95,2.29,2.43
2154522,29.19,43.62,101.75,8667,15321,2.60,0.95,2.27,2.25
2154772,29.19,43.60,101.75,5667,12529,2.58,0.95,2.26,2.11
2155022,29.19,43.60,101.75,4192,10098,2.55,0.95,2.25,2.00
2155272,29.19,43.61,101.74,3171,7993,2.53,0.95,2.24,1.92
2155522,29.19,43.59,101.74,4106,9107,2.51,0.95,2.22,1.84
2155772,29.19,43.57,101.74,9385,16176,2.49,0.95,2.21,1.79
2156022,29.20,43.56,101.75,11892,23923,2.47,0.95,2.20,1.74
