timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
2242272,29.60,43.30,101.75,9072,23051,2.70,1.03,2.52,2.65
2242522,29.61,43.30,101.75,5441,14972,2.67,1.02,2.50,2.45
2242772,29.60,43.26,101.75,3939,12406,2.65,1.02,2.48,2.26
2243022,29.60,43.25,101.75,2815,9839,2.63,1.02,2.46,2.10
2243272,29.60,43.27,101.75,2000,7813,2.62,1.01,2.45,1.97
2243522,29.61,43.24,101.75,2084,7723,2.59,1.02,2.43,1.88
2243772,29.61,43.22,101.75,3682,11415,2.57,1.01,2.41,1.80
2244022,29.61,43.23,101.75,4106,13227,2.56,1.01,2.39,1.75
