timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1558272,30.78,50.88,101.76,1551,2212,2.63,2.10,2.74,1.75
1558522,30.78,50.88,101.76,1657,2293,2.62,2.09,2.73,1.74
1558772,30.77,50.89,101.76,1748,2394,2.62,2.08,2.73,1.74
1559022,30.76,50.88,101.76,1748,2406,2.62,2.07,2.73,1.75
1559272,30.75,50.90,101.76,1777,2471,2.62,2.08,2.73,1.75
1559522,30.75,50.92,101.76,1792,2468,2.61,2.08,2.74,1.76
1559772,30.75,50.96,101.76,1828,2519,2.61,2.08,2.74,1.76
1560022,30.75,50.97,101.76,1876,2597,2.61,2.08,2.74,1.77
