timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
2222272,29.59,42.97,101.75,24379,43234,2.58,1.04,2.39,2.05
2222522,29.59,42.97,101.75,22504,41526,2.57,1.03,2.40,2.45
2222772,29.59,42.95,101.75,21167,40410,2.55,1.03,2.45,2.43
2223022,29.60,42.94,101.75,24199,44175,2.55,1.04,2.46,2.36
2223272,29.60,42.94,101.75,22146,41839,2.54,1.04,2.46,2.27
2223522,29.59,42.94,101.75,17969,36959,2.53,1.04,2.45,2.16
2223772,29.59,42.94,101.75,12442,30511,2.52,1.03,2.44,2.05
2224022,29.58,42.91,101.75,10421,25561,2.51,1.03,2.43,2.08
