timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1046236,28.74,47.07,101.92,3147,15861,2.58,1.02,2.63,2.97
1046486,28.73,47.04,101.93,2408,15096,2.58,1.01,2.63,2.85
1046736,28.74,47.04,101.92,2580,15006,2.57,1.01,2.61,2.71
1046986,28.74,47.02,101.92,3451,18311,2.56,1.01,2.59,2.55
1047236,28.75,47.02,101.92,2457,15602,2.55,1.01,2.58,2.36
1047486,28.74,47.01,101.92,1809,13407,2.53,1.00,2.56,2.26
1047736,28.74,46.98,101.92,3134,15580,2.57,1.01,2.64,2.86
1047986,28.74,46.97,101.92,14551,52227,2.64,1.03,2.71,3.06
