timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1226236,29.30,46.11,101.92,25495,60000,2.80,1.07,2.77,2.99
1226486,29.30,46.11,101.92,24751,60000,2.80,1.07,2.76,2.90
1226736,29.30,46.12,101.93,16108,60000,2.79,1.07,2.76,2.78
1226986,29.30,46.10,101.93,9645,50345,2.77,1.07,2.75,2.62
1227236,29.30,46.09,101.92,9234,48009,2.76,1.07,2.74,2.60
1227486,29.29,46.05,101.92,8128,45848,2.75,1.07,2.73,2.59
1227736,29.30,46.04,101.92,4916,37657,2.75,1.08,2.72,2.63
1227986,29.31,46.05,101.92,3696,28698,2.73,1.08,2.71,2.54
