timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
2780272,31.30,40.19,101.74,4928,8455,2.69,1.15,2.68,2.78
2780522,31.31,40.23,101.73,22628,28489,2.71,1.16,2.71,2.92
2780772,31.31,40.24,101.73,31284,44105,2.72,1.16,2.74,2.97
2781022,31.32,40.31,101.74,17156,28106,2.72,1.15,2.75,2.91
2781272,31.33,40.35,101.74,8389,13880,2.71,1.15,2.74,2.76
2781522,31.32,40.38,101.73,4418,9051,2.69,1.15,2.72,2.56
2781772,31.32,40.42,101.74,2828,6137,2.67,1.14,2.70,2.35
2782022,31.33,40.44,101.73,1880,4788,2.65,1.14,2.68,2.16
