timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1202236,29.45,46.67,101.92,4126,34938,2.88,1.30,2.95,2.96
1202486,29.44,46.65,101.92,3318,29883,2.86,1.29,2.92,2.86
1202736,29.44,46.61,101.93,2599,24864,2.84,1.27,2.90,2.75
1202986,29.44,46.57,101.93,2029,20751,2.82,1.26,2.88,2.65
1203236,29.45,46.59,101.92,1816,17056,2.80,1.25,2.86,2.56
1203486,29.45,46.60,101.92,1565,15377,2.78,1.24,2.84,2.48
1203736,29.45,46.62,101.93,1329,14083,2.76,1.23,2.82,2.41
1203986,29.45,46.67,101.92,1112,12631,2.75,1.22,2.80,2.35
