timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1902272,30.79,42.20,101.75,1893,6970,2.47,1.10,2.52,1.70
1902522,30.78,42.14,101.75,1764,6478,2.46,1.10,2.50,1.63
1902772,30.78,42.08,101.75,1618,6172,2.45,1.09,2.49,1.58
1903022,30.80,42.07,101.75,1497,5876,2.44,1.09,2.48,1.54
1903272,30.78,41.99,101.75,1368,5560,2.43,1.09,2.46,1.51
1903522,30.79,41.95,101.75,1248,5224,2.42,1.08,2.45,1.48
1903772,30.80,41.91,101.75,1145,4828,2.42,1.08,2.48,1.56
1904022,30.80,41.88,101.75,1061,4663,2.41,1.08,2.50,1.63
