timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1492272,29.44,45.51,101.75,1314,729,1.99,1.32,2.13,1.39
1492522,29.45,45.51,101.76,1476,889,2.00,1.35,2.15,1.41
1492772,29.46,45.55,101.75,1631,1035,2.03,1.38,2.17,1.43
1493022,29.46,45.58,101.75,1791,1195,2.05,1.42,2.21,1.46
1493272,29.47,45.58,101.76,1939,1342,2.08,1.46,2.24,1.50
1493522,29.46,45.59,101.75,2131,1663,2.11,1.52,2.28,1.54
1493772,29.47,45.58,101.75,2401,1926,2.15,1.57,2.32,1.58
1494022,29.48,45.61,101.75,2695,2143,2.18,1.64,2.36,1.62
