timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
12608236,32.28,43.54,101.75,1964,5460,1.76,0.97,1.77,2.55
12608486,32.28,43.53,101.75,2101,5440,1.76,0.97,1.78,2.55
12608736,32.29,43.51,101.75,2317,5621,1.76,0.97,1.78,2.55
12608986,32.29,43.50,101.75,2241,5676,1.76,0.97,1.78,2.54
12609236,32.29,43.49,101.75,2119,5651,1.76,0.97,1.78,2.53
12609486,32.29,43.48,101.75,2241,5716,1.76,0.97,1.78,2.52
12609736,32.29,43.46,101.75,2163,5656,1.76,0.97,1.78,2.50
12609986,32.29,43.48,101.75,2013,5601,1.76,0.97,1.78,2.50
