timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
12916236,31.79,47.73,101.76,39101,60000,1.94,1.17,2.10,3.15
12916486,31.79,47.84,101.76,45127,60000,1.94,1.18,2.10,3.16
12916736,31.79,47.92,101.75,52735,60000,1.95,1.18,2.11,3.16
12916986,31.80,47.99,101.75,57330,60000,1.95,1.19,2.12,3.17
12917236,31.80,48.05,101.76,57330,60000,1.96,1.20,2.13,3.18
12917486,31.80,48.10,101.75,57330,60000,1.96,1.21,2.13,3.18
12917736,31.81,48.14,101.76,56405,60000,1.97,1.22,2.14,3.18
12917986,31.81,48.18,101.76,51453,60000,1.98,1.23,2.15,3.18
