timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
13342236,30.91,38.72,101.74,1373,16533,2.58,1.10,2.58,2.30
13342486,30.92,38.72,101.74,1263,15343,2.57,1.09,2.57,2.27
13342736,30.92,38.72,101.74,1179,14859,2.56,1.09,2.56,2.24
13342986,30.92,38.69,101.74,1112,14330,2.55,1.09,2.55,2.20
13343236,30.93,38.68,101.74,1057,13621,2.54,1.08,2.54,2.18
13343486,30.94,38.68,101.74,1026,13047,2.54,1.08,2.53,2.15
13343736,30.93,38.68,101.74,1016,12619,2.52,1.07,2.52,2.12
13343986,30.94,38.69,101.74,976,12135,2.51,1.07,2.51,2.09
