timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
13446236,31.03,38.16,101.74,400,3399,1.90,0.89,1.87,1.11
13446486,31.04,38.12,101.74,400,3269,1.89,0.89,1.87,1.11
13446736,31.04,38.09,101.74,406,3004,1.89,0.90,1.86,1.11
13446986,31.04,38.09,101.74,448,2997,1.89,0.90,1.86,1.10
13447236,31.05,38.06,101.74,463,2935,1.89,0.89,1.85,1.09
13447486,31.05,38.06,101.74,460,2868,1.88,0.89,1.85,1.09
13447736,31.05,38.04,101.74,434,2775,1.88,0.89,1.85,1.08
13447986,31.05,38.04,101.74,413,2658,1.88,0.89,1.85,1.07
