timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
12588236,32.08,43.06,101.75,1499,1392,1.71,0.93,1.72,1.90
12588486,32.08,43.06,101.75,1708,1626,1.71,0.93,1.72,1.94
12588736,32.08,43.05,101.75,1909,1877,1.71,0.94,1.72,2.00
12588986,32.08,43.04,101.75,2057,2154,1.72,0.94,1.72,2.06
12589236,32.08,43.05,101.75,2433,2424,1.72,0.94,1.72,2.13
12589486,32.08,43.08,101.75,2599,2653,1.72,0.94,1.72,2.19
12589736,32.09,43.10,101.75,2938,2951,1.72,0.94,1.72,2.25
12589986,32.10,43.11,101.75,3051,3314,1.72,0.94,1.73,2.29
