timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
13492236,31.02,38.40,101.74,55033,60000,2.61,1.14,2.58,2.14
13492486,31.02,38.40,101.74,57330,60000,2.59,1.14,2.57,2.11
13492736,31.02,38.40,101.74,57330,60000,2.58,1.13,2.56,2.09
13492986,31.02,38.42,101.74,41905,60000,2.57,1.12,2.55,2.07
13493236,31.02,38.39,101.74,24572,60000,2.56,1.12,2.54,2.05
13493486,31.02,38.40,101.74,15116,60000,2.55,1.11,2.53,2.03
13493736,31.02,38.40,101.74,9703,60000,2.53,1.10,2.51,2.01
13493986,31.02,38.41,101.74,6616,54841,2.52,1.10,2.50,1.99
