timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
12542236,31.48,45.37,101.75,1953,3234,1.70,0.93,1.71,2.09
12542486,31.48,45.36,101.75,1954,3294,1.70,0.93,1.71,2.08
12542736,31.49,45.36,101.75,1915,3389,1.70,0.93,1.71,2.06
12542986,31.49,45.36,101.75,1921,3384,1.71,0.93,1.71,2.05
12543236,31.49,45.40,101.75,1917,3459,1.71,0.93,1.71,2.04
12543486,31.50,45.42,101.75,1922,3554,1.71,0.93,1.71,2.04
12543736,31.51,45.42,101.75,1963,3519,1.70,0.93,1.71,2.03
12543986,31.51,45.42,101.75,1987,3735,1.71,0.93,1.71,2.03
