timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
13306236,30.46,40.76,101.74,2057,12180,2.82,1.14,2.86,3.18
13306486,30.47,40.79,101.74,1877,11629,2.83,1.15,2.86,3.18
13306736,30.47,40.83,101.74,1745,10514,2.84,1.16,2.87,3.19
13306986,30.47,40.89,101.74,1559,9805,2.85,1.17,2.87,3.20
13307236,30.47,40.93,101.74,1342,8387,2.85,1.17,2.87,3.21
13307486,30.47,40.94,101.74,1067,7065,2.85,1.18,2.88,3.22
13307736,30.47,40.98,101.74,859,6634,2.85,1.18,2.89,3.23
13307986,30.48,41.04,101.74,780,5932,2.84,1.18,2.91,3.23
