timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
15710246,39.11,48.68,101.76,897,1136,1.84,1.26,1.91,0.76
15710496,39.11,48.66,101.76,919,1132,1.84,1.26,1.92,0.76
15710746,39.11,48.68,101.76,922,1156,1.84,1.26,1.91,0.76
15710996,39.12,48.67,101.76,930,1134,1.84,1.26,1.92,0.76
15711246,39.12,48.66,101.76,931,1161,1.84,1.26,1.92,0.76
15711496,39.12,48.68,101.76,911,1139,1.84,1.26,1.92,0.76
15711746,39.13,48.68,101.76,924,1161,1.84,1.26,1.92,0.76
15711996,39.12,48.70,101.76,927,1158,1.84,1.26,1.92,0.76
