timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
16030268,40.46,49.27,101.76,33223,60000,2.13,1.48,2.27,2.28
16030518,40.46,49.32,101.76,32656,60000,2.13,1.48,2.27,2.21
16030768,40.46,49.36,101.76,28718,60000,2.13,1.47,2.27,2.17
16031018,40.46,49.41,101.76,27149,60000,2.13,1.47,2.27,2.21
16031268,40.47,49.45,101.76,27025,60000,2.14,1.47,2.27,2.26
16031518,40.47,49.56,101.76,27397,60000,2.14,1.47,2.27,2.30
16031768,40.47,49.61,101.76,27508,60000,2.14,1.47,2.27,2.29
16032018,40.47,49.71,101.76,28500,60000,2.14,1.47,2.27,2.30
