timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
17044318,38.03,48.39,101.75,57330,60000,2.59,1.18,2.51,3.13
17044568,38.03,48.34,101.75,57330,60000,2.63,1.19,2.55,3.14
17044818,38.02,48.26,101.75,57330,60000,2.64,1.20,2.58,3.11
17045068,38.01,48.22,101.75,57330,60000,2.67,1.21,2.61,3.16
17045318,37.99,48.15,101.75,57330,60000,2.68,1.22,2.65,3.15
17045568,37.97,48.08,101.75,57330,60000,2.69,1.22,2.66,3.14
17045818,37.95,48.04,101.75,57330,60000,2.69,1.22,2.66,3.12
17046068,37.93,48.02,101.75,57330,60000,2.69,1.21,2.66,3.03
