timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
16380288,37.15,47.52,101.74,57330,60000,2.49,1.23,2.63,2.98
16380538,37.16,47.50,101.74,57330,60000,2.55,1.25,2.70,3.08
16380788,37.17,47.48,101.74,57330,60000,2.59,1.26,2.75,3.15
16381038,37.18,47.45,101.74,57330,60000,2.64,1.27,2.77,3.17
16381288,37.18,47.42,101.74,57330,60000,2.65,1.27,2.78,3.19
16381538,37.18,47.38,101.75,57330,60000,2.68,1.29,2.81,3.23
16381788,37.17,47.38,101.74,57330,60000,2.73,1.33,2.85,3.25
16382038,37.16,47.40,101.75,57330,60000,2.78,1.36,2.89,3.26
