timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
16346288,37.78,46.22,101.75,52706,60000,2.69,1.30,2.76,3.00
16346538,37.76,46.28,101.75,47962,60000,2.68,1.30,2.75,3.01
16346788,37.76,46.38,101.75,57002,60000,2.67,1.29,2.73,2.92
16347038,37.76,46.41,101.75,44561,60000,2.65,1.29,2.72,2.85
16347288,37.76,46.53,101.75,26308,60000,2.65,1.28,2.70,2.80
16347538,37.74,46.60,101.75,17390,60000,2.64,1.28,2.68,2.64
16347788,37.71,46.64,101.75,27770,60000,2.62,1.27,2.66,2.47
16348038,37.69,46.66,101.75,38832,60000,2.60,1.26,2.64,2.50
