timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
16152278,38.81,49.37,101.75,57330,60000,2.98,2.75,3.06,2.52
16152528,38.82,49.40,101.75,57330,60000,2.97,2.74,3.06,2.52
16152778,38.83,49.45,101.75,57330,60000,2.98,2.74,3.06,2.55
16153028,38.83,49.50,101.75,57330,60000,2.99,2.74,3.06,2.62
16153278,38.85,49.52,101.75,57330,60000,3.00,2.76,3.07,2.67
16153528,38.86,49.54,101.75,57330,60000,3.00,2.77,3.07,2.71
16153778,38.87,49.51,101.75,57330,60000,3.01,2.79,3.08,2.73
16154028,38.87,49.45,101.75,57330,60000,3.01,2.80,3.09,2.73
