timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
15726246,39.14,47.96,101.76,859,1094,1.85,1.25,1.91,0.77
15726496,39.14,47.93,101.76,857,1094,1.85,1.25,1.91,0.76
15726746,39.14,47.91,101.76,856,1098,1.85,1.25,1.90,0.77
15726996,39.14,47.88,101.76,854,1091,1.85,1.25,1.90,0.76
15727246,39.13,47.88,101.76,852,1107,1.85,1.25,1.90,0.76
15727496,39.11,47.87,101.76,844,1093,1.85,1.25,1.90,0.76
15727746,39.11,47.83,101.76,837,1105,1.85,1.25,1.90,0.75
15727996,39.10,47.79,101.76,840,1093,1.85,1.25,1.90,0.76
