timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
17060318,37.61,48.17,101.75,12221,60000,2.61,1.15,2.65,2.54
17060568,37.60,48.16,101.75,9078,60000,2.59,1.15,2.64,2.29
17060818,37.58,48.19,101.75,6813,60000,2.57,1.14,2.62,2.07
17061068,37.59,48.14,101.75,5748,60000,2.56,1.14,2.60,1.91
17061318,37.59,48.12,101.75,5464,58641,2.55,1.14,2.58,1.80
17061568,37.59,48.14,101.75,6640,58257,2.53,1.13,2.56,1.71
17061818,37.59,48.15,101.74,15088,60000,2.52,1.13,2.55,1.62
17062068,37.59,48.17,101.75,37281,60000,2.50,1.13,2.53,1.57
