timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
16574298,37.77,47.00,101.75,53332,60000,2.53,1.20,2.46,1.59
16574548,37.78,46.97,101.75,49543,60000,2.53,1.20,2.45,1.56
16574798,37.77,46.95,101.75,26474,60000,2.52,1.20,2.44,1.51
16575048,37.77,46.96,101.75,16687,60000,2.50,1.20,2.43,1.46
16575298,37.77,46.94,101.75,11597,60000,2.50,1.19,2.42,1.45
16575548,37.77,46.93,101.75,10798,60000,2.48,1.19,2.41,1.41
16575798,37.79,46.93,101.75,8840,60000,2.47,1.19,2.41,1.40
16576048,37.80,46.90,101.75,6819,60000,2.46,1.19,2.40,1.40
