timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
15982268,40.28,50.76,101.75,26460,60000,2.07,1.45,2.25,2.08
15982518,40.28,50.66,101.76,27673,60000,2.08,1.45,2.25,2.08
15982768,40.29,50.62,101.76,27577,60000,2.08,1.45,2.25,2.10
15983018,40.29,50.61,101.76,26805,60000,2.08,1.45,2.25,2.12
15983268,40.29,50.68,101.76,23814,60000,2.08,1.45,2.25,2.13
15983518,40.30,50.73,101.75,21043,60000,2.08,1.45,2.25,2.13
15983768,40.30,50.74,101.75,19058,60000,2.08,1.44,2.25,2.10
15984018,40.30,50.79,101.75,17831,60000,2.08,1.44,2.25,2.07
